type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
PV-0-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116897.499,0.0,1847445.2131999999,3397447.6200000006,2589425.348,2935846.2320000003,2546881.596,5647605.48,4800393.402,5709364.24,8543296.43,11230850.912,8039483.408,10731593.242,12300410.188,12439156.076,14424819.286,12669799.115999999,15866856.662,14913005.14,14828642.874000002,12879891.67,14334278.442,15295964.932,14419249.992,14427734.548,14619736.215999998,13911787.812,13670015.916,13430040.484000001,12573667.947999999,11691380.502,12160143.048,9275526.792000001,7862568.658,7580604.257999999,6693252.244,8421745.078,3843964.98,4875105.752,3963895.8060000003,3585165.3500000006,469692.0858,3420613.9560000002,233067.9356,1248796.5042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228587.2489,0.0,2032189.73452,3737192.3820000007,2848367.8828000003,3229430.8552,2801569.7556,6212366.028000001,5280432.7422,6280300.664,9397626.072999999,12353936.0032,8843431.7488,11804752.566200001,11389924.67262,11195240.4684,12982337.3574,11402819.2044,14280170.9958,13421704.626,13345778.586600002,11591902.503,12900850.5978,13766368.4388,12977324.992800001,12984961.0932,13157762.594399998,12520609.0308,15037017.507599998,14773044.5324,13831034.7428,12860518.5522,13376157.3528,10203079.4712,8648825.5238,8338664.6838,7362577.4684,9263919.5858,4228361.478,5362616.3272,4360285.386600001,3943681.8850000007,516661.29438,3762675.3516,256374.72916,1373676.1546200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228587.2489,0.0,2032189.73452,3737192.3820000007,2848367.8828000003,3229430.8552,2801569.7556,6212366.028000001,5280432.7422,6280300.664,9397626.072999999,12353936.0032,8843431.7488,11804752.566200001,11070369.1692,11195240.4684,12982337.3574,11402819.2044,14280170.9958,13421704.626,13345778.586600002,11591902.503,12900850.5978,13766368.4388,12977324.992800001,12984961.0932,16081709.837599998,15302966.593200002,15037017.507599998,14773044.5324,13831034.7428,12860518.5522,13376157.3528,10203079.4712,8648825.5238,8338664.6838,6023927.0196,7579570.5702,3459568.482,4387595.1768000005,4360285.386600001,3943681.8850000007,422722.87722,3236678.0773799983,256374.72916,1373676.1546200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799166.2559999999,1347333.6940000001,803800.5664,2249526.768,1514218.9198,3873948.144,4329494.182,4300811.634,6047312.656,6593772.982000001,9933352.912,11976602.042000001,7108737.692000001,12483842.525999999,12457993.127999999,13922490.478,14948808.3,14331969.994,15887545.61,14155950.058,15651149.256,16387849.367999999,14680886.66,16263502.615999999,16330044.435999999,15229115.030000001,13292607.707999999,13466573.28,14641384.06,12671525.942,14045760.95,14764094.658,8538765.836000001,8072012.125999999,10360943.048000002,7973016.032000001,7570857.137999999,5249390.502,4520817.103999999,4126902.664,2857132.958,2031294.8380000002,933693.9861999999,3705238.0539999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879082.8816,1482067.0634,884180.62304,2474479.4448,1665640.81178,4261342.9584,4762443.6002,4730892.7974,6652043.921600001,7253150.280200001,10926688.203200001,13174262.2462,7819611.461200001,13732226.778599998,13703792.440799998,15314739.5258,16443689.13,15765166.9934,17476300.171,15571545.0638,14722153.645960005,14749064.4312,13212797.993999999,14637152.354399998,14697039.992399998,13706203.527,11963346.937199999,12119915.952,13177245.654000001,11404373.3478,12641184.854999999,13287685.1922,7684889.252400001,7264810.913399999,9324848.743200002,8770317.635200001,8327942.851799999,5774329.552200001,4972898.8144,4539592.9304,3142846.2538,2234424.3218,1027063.3848199999,4075761.8593999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719249.6303999999,1212600.3246000002,723420.50976,2474479.4448,1665640.81178,4261342.9584,4762443.6002,4730892.7974,6652043.921600001,7253150.280200001,10926688.203200001,13174262.2462,7819611.461200001,13732226.778599998,13703792.440799998,15314739.5258,16443689.13,15765166.9934,17476300.171,15571545.0638,17216264.1816,18026634.3048,13212797.993999999,14637152.354399998,14697039.992399998,13706203.527,11963346.937199999,12119915.952,15789294.003279997,11404373.3478,12641184.854999999,13287685.1922,7684889.252400001,7264810.913399999,9324848.743200002,7175714.428800001,6813771.424199999,4724451.4518,4068735.393599999,3714212.3976,2571419.6622,1828165.3542000002,840324.5875799999,3334714.2485999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-2-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607218.6406,2098751.754,2614921.306,2130779.708,1625088.6926000002,1072500.3735999998,3683570.7460000003,4546337.946,5901584.996,6508578.187999999,7767177.177999999,8858282.102,10576754.06,11865689.935999999,11632788.32,12052235.355999999,12224402.156,16662347.785999998,13872760.367999999,13623476.4,13358823.624000002,17151971.59,13743230.472000001,14422167.542000001,13166627.018,13429975.68,13508984.954000002,15487031.43,12688148.99,13923282.07,10755024.234,11155146.8,10334592.9,11290593.287999997,10501624.098,7883595.677999999,7238211.376,5355691.924000001,6023431.0139999995,5142029.49,1700111.3322,3104540.816,3519012.736,736174.7766000001,405818.0258,911905.9658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-2-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667940.5046600001,2308626.9294000003,2876413.4365999997,2343857.6788,1787597.5618600002,1179750.4109599998,4051927.8206,5000971.7406,6491743.4956,7159436.0068,8543894.8958,9744110.3122,11634429.466,13052258.929599999,12796067.152,13257458.891599998,13446842.3716,18328582.5646,15260036.404799998,14985824.040000001,12022941.2616,15436774.431,12368907.424800001,12979950.787800001,11849964.3162,12086978.112,12158086.458600001,13938328.287,11419334.091,12530953.863,9679521.8106,10039632.120000001,9301133.61,10161533.959199997,9748607.242479999,8671955.2458,7962032.5136,5891261.116400001,6625774.1154,5656232.439,1870122.46542,3414994.8976000003,3870914.0096,809792.2542600001,446399.82838,1003096.56238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-2-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667940.5046600001,2308626.9294000003,2876413.4365999997,2343857.6788,1787597.5618600002,1179750.4109599998,4051927.8206,5000971.7406,6491743.4956,7159436.0068,8543894.8958,9744110.3122,11634429.466,13052258.929599999,12796067.152,13257458.891599998,13446842.3716,18328582.5646,15260036.404799998,14985824.040000001,12022941.2616,15436774.431,12368907.424800001,12979950.787800001,11849964.3162,12086978.112,12158086.458600001,13938328.287,11419334.091,12530953.863,9679521.8106,10039632.120000001,9301133.61,10161533.959199997,9748607.242479999,8671955.2458,7962032.5136,5891261.116400001,6625774.1154,5656232.439,1870122.46542,3414994.8976000003,3870914.0096,809792.2542600001,446399.82838,1003096.56238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L3-0-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680831.9421000008,592446.2200000002,3455506.6100000003,576120.64,563111.5400000003,564546.6500000003,567463.5800000003,568736.2399999999,565819.2000000002,562785.2899999999,559852.8600000003,554974.3200000001,553049.05,561909.3200000002,556186.3599999999,556655.9899999999,688597.35,6059341.839999999,5470644.360000001,6149506.839999999,4050447.570000002,5632787.749999999,6526181.280000002,6679308.000000002,6320334.289999997,4522147.760000001,2177803.1700000004,2285018.38,3877756.4200000037,6637400.370000001,21239303.95999999,38920748.20999997,30215766.819999978,36904997.47,34680355.97999997,36240796.819999985,40615916.14,14508285.071999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12495818.074,14121649.1,16072148.149999982,20263881.399999972,20528996.63000001,32419611.250000052,30894556.969999995,31847125.810000006
