type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
PV-0-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89912.85,174843.44999999998,369149.99999999994,457440.0,923720.0000000001,1431099.9999999998,1183700.0,1115700.0,1267300.0,1660400.0000000002,2413400.0,3413600.0,3921462.03,4814300.0,5998154.95,6112200.0,8423200.0,7635854.0200000005,10008700.000000002,10233668.870000001,11581200.0,12343700.0,12946700.0,12965067.829999998,13781500.0,14040998.090000002,15503600.0,15846799.999999998,16257700.000000002,16556600.0,16162800.0,16023441.919999998,16981900.0,16669200.000000002,16934000.0,17898100.0,16484100.0,18153200.0,16361800.0,16611799.999999998,15475700.000000002,15229000.0,14749600.0,14409500.0,13666000.0,13251200.0,12341400.0,11638400.0,10507400.0,9960500.0,8829600.0,8128400.0,6460700.0,5699806.89,4108783.6100000003,3259160.11,1717300.0,1390299.9999999998,936419.9999999999,585529.9999999999,207450.0,123010.00000000001,79754.84,67131.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98904.13500000001,192327.79499999998,406064.99999999994,503184.0,1016092.0000000001,1574209.9999999998,1302070.0,1227270.0,1394030.0,1826440.0000000002,2654740.0,3754960.0,4313608.233,5295730.0,6597970.445,6723420.0,9265520.0,8399439.422,11009570.000000002,11257035.757000001,12739320.0,13578070.0,14241370.0,14261574.612999998,15159650.0,15445097.899000002,17053960.0,17431480.0,17883470.000000004,18212260.0,17779080.0,17625786.112,18680090.0,15002280.000000002,15240600.0,16108290.0,14835690.0,16337880.0,14725620.0,14950619.999999998,13928130.000000002,13706100.0,13274640.0,12968550.0,12299400.0,11926080.0,11107260.0,10474560.0,9456660.0,8964450.0,7946640.0,7315560.0,5814630.0,6269787.579,4519661.971000001,2933244.099,1889030.0,1529329.9999999998,1030061.9999999999,644082.9999999999,186705.0,135311.00000000003,87730.324,61680.166000001744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80921.565,157359.10499999998,332234.99999999994,411696.0,831348.0000000001,1287989.9999999998,1065330.0,1004130.0,1140570.0,1494360.0000000002,2172060.0,3072240.0,3529315.8269999996,4332870.0,6597970.445,6723420.0,9265520.0,8399439.422,11009570.000000002,11257035.757000001,12739320.0,13578070.0,14241370.0,14261574.612999998,15159650.0,15445097.899000002,17053960.0,17431480.0,17883470.000000004,18212260.0,17779080.0,17625786.112,18680090.0,18336120.000000004,18627400.0,16108290.0,14835690.0,16337880.0,14725620.0,14950619.999999998,13928130.000000002,13706100.0,13274640.0,12968550.0,12299400.0,11926080.0,11107260.0,10474560.0,9456660.0,8964450.0,7946640.0,7315560.0,5814630.0,5129826.200999999,3697905.2490000003,2933244.099,1889030.0,1529329.9999999998,1030061.9999999999,526976.9999999999,186705.0,135311.00000000003,87730.324,67069.93199999961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437162.7,844350.0,1861649.9999999998,2478200.0,4627012.1,6157236.6,8396523.75,7854934.200000001,7206730.699999999,7988610.85,14886823.45,14767933.800000003,19410500.0,23386500.0,33472294.7,34857500.0,41944000.0,45714000.0,51720500.0,52204500.0,59383000.0,64888000.0,66153107.9,63197000.0,69276623.95,69103326.85,77059000.0,72655713.1,78131011.35,81127500.0,84600000.0,86010000.0,86033000.0,90401000.00000001,81359500.0,85830000.0,86462000.0,86823000.0,98465000.0,93732500.0,72469000.0,71529000.0,79323500.0,66859499.99999999,69000500.0,75331500.0,69580000.0,65711000.00000001,67042000.0,46636500.0,40379499.99999999,42692000.0,32924499.999999996,29239000.0,21025500.000000004,16757000.0,8636500.0,5565500.0,3223300.0,5323515.75,1193035.55,657100.0,387980.0,330000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480878.97000000003,928785.0,2047814.9999999998,2726020.0,5089713.31,6772960.26,9236176.125,8640427.620000001,7927403.77,8787471.934999999,16375505.795,16244727.180000003,21351550.0,25725150.0,36819524.17,38343250.0,46138400.0,50285400.0,56892550.0,57424950.0,65321300.0,71376800.0,72768418.69,69516700.0,76204286.345,76013659.535,84764900.0,79921284.41,85944112.485,89240250.0,93060000.0,94611000.0,94636300.0,81360900.00000001,73223550.0,77247000.0,77815800.0,78140700.0,88618500.0,84359250.0,65222100.0,64376100.0,71391150.0,60173549.99999999,62100450.0,67798350.0,62622000.0,59139900.00000001,60337800.0,41972850.0,36341549.99999999,38422800.0,29632049.999999996,32162900.0,23128050.000000004,18432700.0,9500150.0,6122050.0,2900970.0,5855867.325,1312339.105,722810.0,349182.0,323138.2700000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480878.97000000003,928785.0,2047814.9999999998,2726020.0,5089713.31,6772960.26,9236176.125,8640427.620000001,7927403.77,8787471.934999999,16375505.795,16244727.180000003,21351550.0,25725150.0,36819524.17,38343250.0,46138400.0,50285400.0,56892550.0,57424950.0,65321300.0,71376800.0,72768418.69,69516700.0,76204286.345,76013659.535,84764900.0,79921284.41,85944112.485,89240250.0,93060000.0,94611000.0,94636300.0,81360900.00000001,73223550.0,77247000.0,77815800.0,78140700.0,88618500.0,84359250.0,65222100.0,64376100.0,71391150.0,60173549.99999999,62100450.0,67798350.0,62622000.0,59139900.00000001,60337800.0,41972850.0,36341549.99999999,38422800.0,29632049.999999996,32162900.0,23128050.000000004,18432700.0,9500150.0,6122050.0,2900970.0,5855867.325,1312339.105,722810.0,349182.0,323138.2700000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST-input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST-output-min,12615384.615384616,29130769.230769232,14938856.015779093,29246942.800788954,29246942.800788954,14998432.205532797,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29100000.0,14923076.923076924,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29100000.0,14923076.923076924,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,29100000.0,29955000.0,15361538.461538462,23400000.0,12000000.0,23400000.0,23400000.0,12000000.0,14923076.923076924,7652859.960552269,3924543.569513984,2012586.4459046072,1032095.6132844139,529279.8016843149,271425.53932528966,139192.58426937932,71380.81244583555,36605.54484401823,18772.07427898371,9626.704758453185,4936.771671001633,2531.6777800008376,1298.296297436327,665.7929730442703,341.43229386885656,175.09348403531106,89.7915302745185,46.04693860231718,23.613814667854964,12.10964854761793,6.210076178265605,3.184654450392618,1.6331561284064708
ST-output-max,12615384.615384616,6469428.007889546,3317655.388661306,20417655.388661306,29520882.769433066,15138914.240734907,7763545.76447944,3981305.5202458664,12000000.0,29100000.0,14923076.923076924,7652859.960552269,7652859.960552269,12693774.338744752,29134688.716937236,14940866.008685762,7661982.568556801,7661982.568556801,12000000.0,29100000.0,14923076.923076924,7652859.960552269,3924543.569513984,12000000.0,29100000.0,14923076.923076924,7652859.960552269,7652859.960552269,24752859.960552268,29737642.998027615,15250073.332321854,7820550.42683172,7820550.42683172,12000000.0,29100000.0,14923076.923076924,7652859.960552269,7652859.960552269,24752859.960552268,29737642.998027615,15250073.332321854,7820550.42683172,7820550.42683172,12000000.0,29100000.0,14923076.923076924,7652859.960552269,3924543.569513984,12000000.0,29100000.0,14923076.923076924,14923076.923076924,7652859.960552269,12000000.0,29100000.0,14923076.923076924,14923076.923076924,7652859.960552269,12000000.0,29100000.0,14923076.923076924,14923076.923076924,7652859.960552269,12000000.0,29100000.0,14923076.923076924,7652859.960552269,3924543.569513984,12000000.0,29100000.0,14923076.923076924,14923076.923076924,7652859.960552269,12693774.338744752,29134688.716937236,15362427.915818904,15009293.023482535,7697073.345375659,12000000.0,29100000.0,14923076.923076924,14923076.923076924,7652859.960552269,12000000.0,29100000.0,15361538.461538462,29268076.92307692,15009270.216962524,15009270.216962524,29250463.510848127,29962523.175542407,29998126.15877712,29999906.307938855,29999995.315396942,29999999.765769847,29999999.988288492
L2-0-input,1205531.6000000008,1180425.9600000014,1221933.8099999994,1191739.249999999,1293038.2,1182996.2700000014,1111928.040000002,969683.4730000006,1166546.7189999993,1475866.3100000015,1421676.899999998,1234476.905000001,139437.0866784991,61614.88947349998,317277.20158269996,1171676.25,1109258.1600000001,956640.9595999988,622553.2979999998,1257876.6800000002,1197808.5399999993,1197935.0899999999,1215812.0500000007,819019.1581,1101073.961,1252099.2699999993,1101650.9000000008,225960.52638279842,80935.46954220002,1124648.5550000004,1196439.9099999995,1152237.0799999998,1150546.2100000016,1153272.669999999,1191009.43,1210561.6199999985,1226188.409999998,1207223.97,1204011.5300000014,1175385.3499999992,1021892.5268999994,915105.4345999996,1157627.3100000012,1192107.5499999996,1139117.959999999,885426.2675000009,235817.6598129,461676.09013999987,1136368.4900000012,1152362.250000001,1132172.2000000007,1126483.3699999999,1147584.8199999998,1109800.5000000002,1097770.7600000007,1053283.600000001,1050605.020000001,1044877.7599999994,1064035.819999999,1073833.4199999995,1077469.2299999997,1057972.8699999999,1059560.8299999994,1048734.5999999992,1038304.9399999994,1014737.6000000009,1019807.9600000002,1003115.2500000007,996862.9100000011,1015528.8000000025,1028003.71,1015389.9300000003,512123.9578900001,905926.0840000003,1097695.3300000003,1154998.27,1159001.3899999987,1141963.3400000008,1142092.56,1038131.427,894806.576299999,1214539.0899999996,1211222.2100000004,1290629.6500000025,1224880.0400000017,1207470.9300000002,1195337.9799999988,1189532.38,1185589.22,1171610.6299999994,1189397.8800000006,1202829.0699999994,1191507.8099999996,615190.77415,761414.8237999999,1201511.6000000003
