type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
PV-0-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627350.0,992099.9999999999,1798800.0,2177200.0,2999750.0000000005,3397400.0000000005,4484250.0,4915450.0,5755000.0,6650499.999999999,10285000.0,12717000.0,18519500.0,21736999.999999996,73635000.0,34475000.0,42545500.0,41446000.00000001,59621000.0,55260000.0,63430052.25,60602000.0,60640000.00000001,62504499.99999999,66591499.99999999,72310500.0,71227000.0,75021000.0,75381500.0,75911500.0,83550000.0,83444500.00000001,84739000.0,85365000.0,85087000.00000001,88071332.3,84823500.0,77480000.0,78186000.0,79815500.0,73775000.0,71860000.0,72723000.0,74669500.0,65441300.1,63029005.70000001,66870500.0,62893000.0,55551000.00000001,47208000.0,48157500.0,42729500.0,33013000.000000004,27068500.0,19850000.0,16128000.0,7851500.0,5934000.0,4804450.0,3230149.9999999995,1103650.0,705050.0,422864.99999999994,334051.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690085.0,1091309.9999999998,1978680.0,2394920.0,3299725.0000000005,3737140.0000000005,4932675.0,5406995.0,6330500.0,7315549.999999999,11313500.0,13988700.0,20371450.0,23910699.999999996,80998500.0,37922500.0,46800050.0,45590600.00000001,65583100.0,60786000.0,69773057.475,66662200.0,66704000.00000001,68754950.0,73250650.0,79541550.0,78349700.0,82523100.0,82919650.0,83502650.0,91905000.0,91788950.00000001,93212900.0,76828500.0,76578300.00000001,79264199.07,76341150.0,69732000.0,70367400.0,71833950.0,66397500.0,64674000.0,65450700.0,67202550.0,58897170.09,56726105.13000001,60183450.0,56603700.0,49995900.00000001,42487200.0,43341750.0,38456550.0,29711700.000000004,24361650.0,21835000.0,17740800.0,7066350.0,6527400.0,5284895.0,3553164.9999999995,1214015.0,775555.0,465151.49999999994,343913.28500002326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564615.0,892889.9999999999,1618920.0,1959480.0,2699775.0000000005,3057660.0000000005,4035825.0,4423905.0,5179500.0,5985449.999999999,9256500.0,11445300.0,16667550.0,19563299.999999996,66271500.0,31027500.0,38290950.0,37301400.00000001,53658900.0,49734000.0,57087047.025,54541800.0,54576000.00000001,56254049.99999999,59932349.99999999,65079450.0,64104300.0,67518900.0,67843350.0,68320350.0,75195000.0,75100050.00000001,93212900.0,93901500.0,93595700.00000001,96878465.53,93305850.0,85228000.0,86004600.0,87797050.0,81152500.0,79046000.0,79995300.0,82136450.0,71985430.11,69331906.27000001,73557550.0,69182300.0,61106100.00000001,51928800.0,43341750.0,38456550.0,29711700.000000004,29775350.0,21835000.0,17740800.0,7066350.0,6527400.0,4324005.0,3553164.9999999995,1214015.0,775555.0,380578.49999999994,336519.1149999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896025.0,1475325.0,2541525.0,3389700.0,4565550.0,5120849.999999999,10655237.175,12204749.999999998,18043500.0,19856250.0,26623500.0,30882749.999999996,34359750.0,36276000.0,41825250.0,46352250.0,55605750.0,60204000.0,70084500.0,74694000.0,81513750.0,85561500.00000001,92929500.0,95018250.0,101154000.00000001,103100250.0,106222499.99999999,108175500.0,113853749.99999999,114234749.99999999,117232500.0,121765500.0,118719000.00000001,114565499.99999999,123924749.99999999,126642750.00000001,125195999.99999999,130434749.99999999,125764499.99999999,123362250.0,114153750.0,110480992.425,116297250.0,113724000.00000001,107740500.0,97435500.0,80556000.0,75424500.0,75813000.0,67433250.0,58967250.0,43586250.00000001,51397500.0,43416750.0,27411000.000000004,21741000.000000004,13158698.175,10005750.0,4710000.0,3449325.0000000005,1708350.0,880275.0000000001,622552.5,402750.00000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985627.5,1622857.5,2795677.5,3728670.0,5022105.0,5632934.999999999,11720760.8925,13425224.999999998,19847850.0,21841875.0,29285850.0,33971025.0,37795725.0,39903600.0,46007775.0,50987475.0,61166325.0,66224400.0,77092950.0,82163400.0,89665125.0,94117650.00000001,102222450.0,104520075.0,111269400.00000001,113410275.0,116844749.99999999,118993050.0,125239124.99999999,125658224.99999999,128955750.0,133942050.0,130590900.00000001,103108949.99999999,111532274.99999999,113978475.00000001,112676399.99999999,117391274.99999999,113188049.99999999,111026025.0,102738375.0,99432893.18249999,104667525.0,102351600.00000001,96966450.0,87691950.0,72500400.0,67882050.0,68231700.0,60689925.0,53070525.0,39227625.00000001,46257750.0,47758425.0,24669900.000000004,23915100.000000004,14474567.992500002,11006325.0,5181000.0,3794257.5000000005,1537515.0,968302.5000000001,560297.25,417063.4575000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985627.5,1622857.5,2795677.5,3728670.0,5022105.0,5632934.999999999,11720760.8925,13425224.999999998,19847850.0,21841875.0,29285850.0,33971025.0,37795725.0,39903600.0,46007775.0,50987475.0,61166325.0,66224400.0,77092950.0,82163400.0,89665125.0,94117650.00000001,102222450.0,104520075.0,111269400.00000001,113410275.0,116844749.99999999,118993050.0,125239124.99999999,125658224.99999999,128955750.0,133942050.0,130590900.00000001,103108949.99999999,111532274.99999999,113978475.00000001,112676399.99999999,117391274.99999999,113188049.99999999,111026025.0,102738375.0,99432893.18249999,104667525.0,102351600.00000001,96966450.0,87691950.0,72500400.0,67882050.0,68231700.0,60689925.0,53070525.0,39227625.00000001,46257750.0,47758425.0,24669900.000000004,23915100.000000004,14474567.992500002,11006325.0,5181000.0,3794257.5000000005,1537515.0,968302.5000000001,560297.25,417063.4575000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST-input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST-output-min,29435897.435897436,67971794.87179486,34857330.70348455,68242866.53517422,68242866.53517422,34996341.81290986,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,67900000.0,34820512.820512824,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,67900000.0,34820512.820512824,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,67900000.0,69895000.0,35843589.743589744,54600000.0,28000000.0,54600000.0,54600000.0,28000000.0,34820512.820512824,17856673.24128863,9157268.328865964,4696035.040444084,2408223.097663633,1234986.2039300683,633326.258425676,324782.6966285518,166555.22904028298,85412.9379693759,43801.506650962,22462.311103057436,11519.133899003813,5907.248153335288,3029.35802735143,1553.5169371032973,796.6753523606653,408.55146274905917,209.51357064054318,107.44285673874009,55.098900891661586,28.255846611108506,14.490177749286413,7.430860384249443,3.8106976329484326
ST-output-max,29435897.435897436,15095332.018408941,7741195.906876381,47641195.90687638,68882059.79534382,35324133.22838145,18114940.11711869,9289712.880573688,28000000.0,67900000.0,34820512.820512824,17856673.24128863,17856673.24128863,29618806.790404428,67980940.33952022,34862020.68693344,17877959.326632537,17877959.326632537,28000000.0,67900000.0,34820512.820512824,17856673.24128863,9157268.328865964,28000000.0,67900000.0,34820512.820512824,17856673.24128863,17856673.24128863,57756673.24128863,69387833.66206443,35583504.44208433,18247950.99594068,18247950.99594068,28000000.0,67900000.0,34820512.820512824,17856673.24128863,17856673.24128863,57756673.24128863,69387833.66206443,35583504.44208433,18247950.99594068,18247950.99594068,28000000.0,67900000.0,34820512.820512824,17856673.24128863,9157268.328865964,28000000.0,67900000.0,34820512.820512824,34820512.820512824,17856673.24128863,28000000.0,67900000.0,34820512.820512824,34820512.820512824,17856673.24128863,28000000.0,67900000.0,34820512.820512824,34820512.820512824,17856673.24128863,28000000.0,67900000.0,34820512.820512824,17856673.24128863,9157268.328865964,28000000.0,67900000.0,34820512.820512824,34820512.820512824,17856673.24128863,29618806.790404428,67980940.33952022,35845665.136910774,35021683.72145925,17959837.80587654,28000000.0,67900000.0,34820512.820512824,34820512.820512824,17856673.24128863,28000000.0,67900000.0,35843589.743589744,68292179.48717949,35021630.50624589,35021630.50624589,68251081.52531229,69912554.07626562,69995627.70381328,69999781.38519067,69999989.06925954,69999999.45346297,69999999.97267315
L2-0-input,1119311.4400000004,1111387.9099999997,558557.0719000001,741621.6359999994,1050792.4699999997,1021269.5200000003,1023304.4299999998,1029267.6099999993,1304816.330000001,1460707.6399999997,693998.6396000005,1089031.5440000007,647992.4037,1207446.7439999997,723106.3619000005,154558.16116999995,1030237.0849999995,936834.1549999986,1072268.8100000017,1226472.5400000003,1060733.279999999,1099607.4700000007,1026379.7700000012,1028510.5000000021,1362639.5200000005,1627097.3299999968,1531653.5999999966,1054039.7399999995,1683680.8239999956,1060409.2699999996,994622.9169000003,112061.37610000005,1019022.8450000002,1077818.5012000005,786882.5916999998,1123531.8799999978,799771.1327999985,1108651.5699999991,1103620.050000001,1088027.3700000003,1120768.77,306969.1409619987,1003353.5700000003,1113777.9900000002,1140615.7800000026,1087523.8499999999,928326.6448999993,915079.2589999995,414583.97020999965,78096.11261930059,0.0,0.0,0.0,335188.0452052001,988167.7299999996,1009796.9999999995,1001236.0800000002,968460.4599999988,978964.0600000008,970982.6499999997,963868.7700000007,959130.1400000008,847908.9819999998,967203.5200000004,979562.1099999999,992723.0399999997,1001703.2200000006,289553.47484100057,0.24661770000000577,0.0,0.24663350000000495,0.0,0.0,0.0,32.88208300000002,29.26502989999997,1.6441118000000103,14.057106300000001,0.0,35.51261550000003,0.0,0.0,8.71372980000001,0.0,2.7127604000000107,0.0,23.675102000000006,9.124761599999992,77641.67522049998,458049.28799999965,438469.74800000014,280643.40792999987,365767.12740000023,0.0,167478.97610000003,103158.63796999995
