type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
PV-0-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309275.0,513073.42499999993,1049968.375,1479335.7,1970794.2250000003,2237413.475,2928795.975,3077995.7,3640749.9999999995,4060750.0,5822210.725,6887516.9,9538678.9,10916000.0,14314250.0,15598499.999999998,18875750.0,20536000.0,23178500.0,24906000.0,27381424.025000002,28386750.0,30621750.000000004,31495750.0,33559946.725,34326000.0,35966250.0,36603750.0,37913000.0,38880746.525,39214741.85,41228750.0,41576000.0,40600508.725,39020500.0,41013649.075,38951250.0,39490895.675,38731201.3,38342563.15,36985283.275,35987023.1,34525250.0,33753500.0,31896250.0,30933750.0,28886766.825,27709499.999999996,24880500.000000004,23625750.0,20638750.0,19323250.0,15638750.000000002,13907750.000000002,10086250.0,8068749.999999999,4194250.0,2798750.0,1564375.0000000002,1198175.0,598925.0,368425.0,194182.5,161677.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278347.5,461766.0824999999,944971.5375,1331402.13,1773714.8025000002,2013672.1275000002,2635916.3775,2770196.1300000004,3276674.9999999995,3654675.0,5239989.6525,6198765.21,8584811.01,9824400.0,12882825.0,14038649.999999998,16988175.0,18482400.0,20860650.0,22415400.0,24643281.622500002,25548075.0,27559575.000000004,28346175.0,30203952.052500002,30893400.0,32369625.0,32943375.0,34121700.0,34992671.872499995,35293267.665,37105875.0,37418400.0,44660559.597500004,42922550.0,45115013.9825,42846375.0,43439985.2425,42604321.43,42176819.464999996,40683811.6025,39585725.410000004,37977775.0,37128850.0,35085875.0,34027125.0,31775443.5075,30480449.999999996,27368550.000000004,25988325.0,22702625.0,21255575.0,17202625.000000004,15298525.000000002,9077625.0,7261874.999999999,3774825.0,2518875.0,1407937.5000000002,1317992.5,539032.5,405267.5,174764.25,170943.3900000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278347.5,461766.0824999999,944971.5375,1331402.13,1773714.8025000002,2013672.1275000002,2635916.3775,2770196.1300000004,3276674.9999999995,3654675.0,5239989.6525,6198765.21,8584811.01,9824400.0,12882825.0,14038649.999999998,16988175.0,18482400.0,20860650.0,22415400.0,24643281.622500002,25548075.0,27559575.000000004,28346175.0,30203952.052500002,30893400.0,32369625.0,32943375.0,34121700.0,34992671.872499995,35293267.665,37105875.0,37418400.0,44660559.597500004,42922550.0,45115013.9825,42846375.0,43439985.2425,42604321.43,42176819.464999996,40683811.6025,39585725.410000004,37977775.0,37128850.0,35085875.0,34027125.0,31775443.5075,30480449.999999996,27368550.000000004,25988325.0,22702625.0,21255575.0,17202625.000000004,15298525.000000002,9077625.0,7261874.999999999,3774825.0,2518875.0,1407937.5000000002,1317992.5,539032.5,405267.5,174764.25,170943.3900000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind-0-input,501333333.20000005,534857142.79999995,560380952.6000001,566095238.0,553142857.1999999,532190476.0,537904762.0,549714285.6,526095238.2,537142857.2,538666666.6,526095238.0,552380952.4,538285714.4,522666666.59999996,517714285.8,534857142.79999995,554666666.8,558857142.8,554666666.6,577523809.4000001,582476190.6,592380952.6,573714285.8000001,580190476.1999999,579428571.4,580190476.4000001,556571428.6,544380952.6,532190476.2,528380952.40000004,533333333.2,505523809.6,500952380.8,482666666.79999995,499809523.79999995,511619047.59999996,526095238.2,530285714.2,547047619.0,526476190.40000004,506285714.20000005,528761904.59999996,559619047.6,577523809.6,552761904.8,552000000.1999999,493333333.40000004,459428571.4,477333333.2,468571428.40000004,343238095.40000004,273142857.0,371428571.4,422857142.8,532571428.4,424761904.79999995,332190476.2,360380952.4,331047618.8,315428571.40000004,320380952.4,148571428.6,31619047.6,0.0,0.0,0.0,6095238.199999999,24380952.4,51428571.4,81904761.8,105904761.99999999,79238095.39999999,93333333.19999999,93333333.4,152761904.8,126476190.4,240000000.00000003,229714285.79999998,285714285.8,381333333.40000004,338285714.4,326095238.0,382095237.99999994,310095238.1999999,209523809.60000002,226666666.6,224000000.00000003,243047618.99999997,289523809.4,256380952.19999996,214857142.80000004,249142857.0,198857142.8,179428571.4,96000000.0
Wind-0-output-min,501333333.20000005,534857142.79999995,560380952.6000001,566095238.0,553142857.1999999,532190476.0,537904762.0,549714285.6,526095238.2,537142857.2,538666666.6,526095238.0,552380952.4,538285714.4,522666666.59999996,517714285.8,534857142.79999995,554666666.8,558857142.8,554666666.6,577554736.9000001,582527497.9425,592485949.4375,573862219.3700001,580387555.6225,579652312.7475,580483355.9975001,556879228.1700001,544745027.6,532596551.2,528963173.4725,534022084.89,506477677.49,502043980.8,484098091.79999995,501369373.79999995,513506622.59999996,528148838.2,532603564.2,549538219.0,529214332.8025,509124389.20000005,531824079.59999996,562768622.6,580879804.2725,556194504.8,555596625.1999999,496993708.40000004,463219871.4,481221407.85249996,472492902.58500004,347360970.40000004,277300457.0,367368520.5275,418955092.8,528470063.49249995,420866779.79999995,328241386.6325,356507832.27,327213362.485,311730043.07250005,316782250.09,145118903.6,28243697.6,-3189625.0,-3093375.0,-2888676.6825,3324288.1999999993,21892902.4,49065996.4,79840886.8,103972436.99999999,77674220.39999999,91942558.19999999,94341958.4,153568779.8,126895615.4,240279875.00000003,229557848.29999998,285834103.3,381393225.90000004,338322556.9,326114656.25,382085527.10999995,310095238.1999999,209523809.60000002,226666666.6,224000000.00000003,243047618.99999997,289523809.4,256380952.19999996,214857142.80000004,249142857.0,198857142.8,179428571.4,96000000.0
Wind-1-output-max,501333333.20000005,534857142.79999995,560380952.6000001,566095238.0,553142857.1999999,532190476.0,537904762.0,549714285.6,526095238.2,537142857.2,538666666.6,526095238.0,552380952.4,538285714.4,522666666.59999996,517714285.8,534857142.79999995,554666666.8,558857142.8,554666666.6,577554736.9000001,582527497.9425,592485949.4375,573862219.3700001,580387555.6225,579652312.7475,580483355.9975001,556879228.1700001,544745027.6,532596551.2,528963173.4725,534022084.89,506477677.49,502043980.8,484098091.79999995,501369373.79999995,513506622.59999996,528148838.2,532603564.2,549538219.0,529214332.8025,509124389.20000005,531824079.59999996,562768622.6,580879804.2725,556194504.8,555596625.1999999,496993708.40000004,463219871.4,481221407.85249996,472492902.58500004,347360970.40000004,277300457.0,367368520.5275,418955092.8,528470063.49249995,420866779.79999995,328241386.6325,356507832.27,327213362.485,311730043.07250005,316782250.09,145118903.6,28243697.6,-3189625.0,-3093375.0,-2888676.6825,3324288.1999999993,21892902.4,49065996.4,79840886.8,103972436.99999999,77674220.39999999,91942558.19999999,94341958.4,153568779.8,126895615.4,240279875.00000003,229557848.29999998,285834103.3,381393225.90000004,338322556.9,326114656.25,382085527.10999995,310095238.1999999,209523809.60000002,226666666.6,224000000.00000003,243047618.99999997,289523809.4,256380952.19999996,214857142.80000004,249142857.0,198857142.8,179428571.4,96000000.0
L2-0-input,1175222.8399999996,1168869.7300000004,548452.3599900005,828506.3090000009,1113930.970000001,1085192.1499999987,1088706.0000000019,1097070.200000002,1217165.4500000007,1141578.0400000005,697539.0683899986,980697.8920000002,679828.0963300004,1100146.191999999,783302.3330300002,139069.14577789936,1006322.1280000003,1017666.761000001,1110783.6800000006,1107959.6999999993,1133761.3400000005,1065454.61,1093944.1700000004,1106187.4199999985,1103140.4499999995,1232245.899999999,1076699.0400000012,1108328.5599999998,882461.3169999993,1074146.6399999994,1042357.0489999993,125746.15576999998,1066782.8169999993,1111764.3239000007,820155.0559800006,1160195.5199999993,850893.9532400003,1157248.3599999987,1158481.9700000002,1157169.93,1181871.27,312808.07338170067,1033367.744,1140198.96,1136841.339999999,1150877.2400000012,1012682.45273,1012471.2770000008,416830.0306190009,65631.59311570005,72.2583368000001,54.09099310000001,26.963340299999977,368422.0901440002,1063854.9100000008,1074840.9299999992,1059692.0999999996,1042279.2700000008,1059078.0900000003,1045090.2999999991,1046411.6600000004,1046124.3200000009,932471.7639999999,1055920.4800000004,1060614.330000001,1073262.0900000008,1085286.2900000005,308826.0210749002,33.62192739999995,0.0,0.0,0.0,9.371430200000017,0.0,25.5658493,0.0,6.576398200000005,4.274665199999995,0.0,30.49814789999998,2.712756200000004,20.71569159999999,0.0,10.686697399999998,0.0,0.0,0.0,11.508726100000008,63727.878817200006,389812.78600000014,380308.4830000001,239111.87684309954,310994.1860219001,903.434550499999,148008.37043240006,92700.99454119915
L2-0-output-min,1175222.8399999996,1168869.7300000004,548452.3599900005,828506.3090000009,1113930.970000001,1085192.1499999987,1088706.0000000019,1097070.200000002,1217165.4500000007,1141578.0400000005,697539.0683899986,980697.8920000002,679828.0963300004,1100146.191999999,783302.3330300002,139069.14577789936,1006322.1280000003,1017666.761000001,1110783.6800000006,1107959.6999999993,1133761.3400000005,1065454.61,1093944.1700000004,1106187.4199999985,1103140.4499999995,1232245.899999999,1076699.0400000012,1108328.5599999998,882461.3169999993,1074146.6399999994,1042357.0489999993,125746.15576999998,1066782.8169999993,1111764.3239000007,820155.0559800006,1160195.5199999993,850893.9532400003,1157248.3599999987,1158481.9700000002,1157169.93,1181871.27,312808.07338170067,689074.7516871421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085286.2900000005,308826.0210749002,33.62192739999995,0.0,0.0,0.0,9.371430200000017,0.0,25.5658493,0.0,6.576398200000005,4.274665199999995,0.0,30.49814789999998,2.712756200000004,20.71569159999999,0.0,10.686697399999998,0.0,0.0,0.0,11.508726100000008,63727.878817200006,389812.78600000014,380308.4830000001,239111.87684309954,310994.1860219001,903.434550499999,148008.37043240006,92700.99454119915
L2-0-output-max,1175222.8399999996,1168869.7300000004,548452.3599900005,828506.3090000009,1113930.970000001,1085192.1499999987,1088706.0000000019,1097070.200000002,1217165.4500000007,1141578.0400000005,697539.0683899986,980697.8920000002,679828.0963300004,1100146.191999999,783302.3330300002,139069.14577789936,1006322.1280000003,1017666.761000001,1110783.6800000006,1107959.6999999993,1133761.3400000005,1065454.61,1093944.1700000004,1106187.4199999985,1103140.4499999995,1232245.899999999,1076699.0400000012,1108328.5599999998,882461.3169999993,1074146.6399999994,1042357.0489999993,125746.15576999998,1066782.8169999993,1111764.3239000007,820155.0559800006,1160195.5199999993,850893.9532400003,1157248.3599999987,1158481.9700000002,1157169.93,1181871.27,312808.07338170067,1033367.744,1140198.96,1136841.339999999,1150877.2400000012,1012682.45273,1012471.2770000008,416830.0306190009,65631.59311570005,72.2583368000001,54.09099310000001,26.963340299999977,368422.0901440002,1063854.9100000008,1074840.9299999992,1059692.0999999996,1042279.2700000008,1059078.0900000003,1045090.2999999991,1046411.6600000004,1046124.3200000009,932471.7639999999,1055920.4800000004,1060614.330000001,1073262.0900000008,1085286.2900000005,308826.0210749002,33.62192739999995,0.0,0.0,0.0,9.371430200000017,0.0,25.5658493,0.0,6.576398200000005,4.274665199999995,0.0,30.49814789999998,2.712756200000004,20.71569159999999,0.0,10.686697399999998,0.0,0.0,0.0,11.508726100000008,63727.878817200006,389812.78600000014,380308.4830000001,239111.87684309954,310994.1860219001,903.434550499999,148008.37043240006,92700.99454119915
L3-0-input,73866255.10000004,73925225.69999991,26682755.600969967,46136991.66900001,72880473.9000001,73664803.20000005,73714963.49999999,73906755.29999992,74681292.39999995,75172629.30000003,45513694.226999946,64090038.08699998,35722998.96200001,71219842.37000002,45857377.885999985,7183893.012902999,59958475.87000002,64329551.90000003,74418469.20000002,74053183.6,74723156.89999999,73683465.59999995,73930776.70000005,74689552.2,74544492.69999999,78554943.19999997,74623648.0999999,75568884.59999995,55736772.69000001,71341142.19999993,69418523.7600001,4654461.266700001,65697515.399999976,70641683.36999993,47724661.39000004,74074140.80000004,52129546.720000006,70932823.60000002,74833333.59999996,74551163.30000007,75435272.20000003,20394805.16000001,62574391.29999998,75098423.9,74494940.99999999,74718111.59999993,67296006.08999994,66992943.10000002,24088189.049999993,2922912.246567999,0.0,0.0,47.47351200000001,19138184.45274398,71504274.79999994,74019255.29999992,72834740.90000004,71830254.60000004,73039658.19999997,73149892.29999991,73783669.20000002,73990154.10000004,64511067.79999994,74671137.80000001,75078883.39999996,75417749.10000002,75698854.00000003,21585713.161863957,0.0,2.2606510000000157,45.41828899999994,32.471113000000024,0.0,24.661488999999982,0.0,16.646604000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933707.8969210011,1029802.0779999994,1198989.7813999983,1166113.7315999994,689372.2985999994,905773.7569000005,631181.675281,510052.4586910006
